gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group C,some college,standard,none,72.0,72.0,69.2
female,group C,some college,standard,none,69.0,66.75,88.0
female,group B,master's degree,standard,none,90.0,95.0,93.0
male,group A,associate's degree,free/reduced,none,47.0,47.0,44.0
female,group C,some college,standard,none,76.0,77.8,70.4
female,group B,associate's degree,standard,none,74.0,83.0,78.0
female,group B,some college,standard,completed,90.0,95.0,92.0
male,group B,some college,free/reduced,none,40.0,43.0,39.0
male,group C,high school,free/reduced,completed,64.0,64.0,66.2
female,group C,high school,standard,none,38.0,60.0,50.0
male,group C,associate's degree,standard,none,58.0,54.0,52.0
male,group C,associate's degree,standard,none,40.0,48.42705203704838,43.0
female,group B,high school,standard,none,71.0,81.0,73.0
male,group A,some college,standard,none,78.0,72.0,70.0
female,group C,master's degree,standard,none,45.2,53.0,50.8
female,group C,some high school,standard,none,71.25,75.0,78.0
male,group C,some college,standard,none,88.0,89.0,86.0
female,group B,some high school,free/reduced,none,18.0,32.0,33.238697106999325
male,group C,master's degree,free/reduced,completed,46.0,46.0,46.0
female,group C,associate's degree,standard,none,54.0,58.0,61.0
male,group C,some college,standard,none,8.0,69.0,63.0
female,group B,some college,free/reduced,completed,65.0,61.6,70.0
female,group D,some college,standard,none,63.6,55.8,53.0
female,group C,some high school,standard,none,69.0,73.0,73.0
male,group C,bachelor's degree,free/reduced,none,74.0,71.0,80.0
male,group A,some college,standard,none,73.0,74.0,72.0
male,group B,some college,standard,none,69.0,54.0,69.6
female,group C,bachelor's degree,standard,none,67.0,80.0,75.0
female,group C,high school,standard,none,70.0,70.0,65.0
female,group D,master's degree,standard,none,62.0,70.0,75.0
female,group D,some college,standard,none,69.0,74.0,74.0
female,group B,some college,standard,none,63.0,65.0,61.0
female,group E,some college,free/reduced,none,56.0,72.0,65.0
female,group D,some college,standard,none,40.0,42.0,38.0
male,group E,some college,standard,none,84.0,84.4,82.0
female,group E,some college,standard,completed,81.0,81.0,79.0
female,group D,associate's degree,standard,none,74.0,75.0,80.2
female,group D,some high school,standard,none,50.0,64.0,59.0
female,group D,associate's degree,free/reduced,none,65.93430656934306,68.64388489208633,67.67144563918758
male,group B,some college,free/reduced,none,57.0,56.0,57.0
male,group C,some college,free/reduced,none,55.0,61.0,58.4
female,group C,associate's degree,standard,none,63.6,73.0,68.0
female,group B,some college,standard,none,62.6,58.0,65.0
male,group B,some college,free/reduced,completed,59.0,65.0,66.0
female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0
male,group C,associate's degree,standard,none,65.0,54.0,57.0
female,group A,some college,standard,none,55.0,67.2,62.0
female,group C,some college,standard,none,66.0,71.0,76.0
female,group D,associate's degree,free/reduced,completed,57.0,74.0,70.4
male,group C,high school,standard,completed,82.0,84.0,82.0
male,group E,some college,standard,none,53.0,55.0,48.0
male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0
female,group C,some college,standard,none,53.0,44.0,42.0
male,group C,high school,standard,none,88.0,78.5,75.0
female,group C,some high school,free/reduced,completed,71.0,84.0,87.0
female,group C,high school,free/reduced,none,33.0,41.0,43.0
female,group E,associate's degree,standard,completed,82.0,85.0,86.0
female,group C,associate's degree,standard,none,53.0,55.0,49.0
male,group D,some college,standard,none,58.0,59.0,58.0
female,group C,some high school,free/reduced,none,0.0,17.0,10.0
male,group E,bachelor's degree,free/reduced,none,79.0,74.0,72.0
male,group A,some high school,standard,none,39.0,39.0,34.0
male,group A,associate's degree,free/reduced,none,62.0,61.0,63.8
female,group C,associate's degree,standard,none,69.0,80.0,71.0
female,group D,some college,standard,none,59.0,65.0,59.0
male,group B,some high school,standard,none,67.0,64.0,61.0
male,group D,some high school,free/reduced,none,45.0,37.0,46.0
female,group C,some college,standard,none,60.0,72.0,74.0
male,group B,some college,free/reduced,none,61.0,58.0,59.2
female,group C,associate's degree,standard,none,39.0,64.0,57.0
female,group D,some college,free/reduced,completed,58.0,63.0,73.0
male,group D,some college,standard,completed,63.0,55.0,63.0
female,group C,associate's degree,free/reduced,none,41.0,51.0,48.0
male,group C,some high school,standard,none,61.0,57.0,56.0
male,group C,some high school,standard,none,54.0,49.0,41.0
male,group B,some college,free/reduced,none,44.0,64.0,38.0
male,group E,some high school,standard,none,30.0,26.0,22.0
female,group A,some college,standard,none,80.0,80.33333333333333,81.0
female,group D,some high school,standard,completed,61.0,74.0,72.0
female,group E,master's degree,standard,none,62.0,68.0,68.0
female,group B,some college,standard,none,54.0,49.0,50.0
male,group B,high school,free/reduced,none,49.0,45.0,45.0
male,group A,some college,free/reduced,none,50.0,47.0,54.0
male,group E,associate's degree,standard,none,72.0,64.0,63.0
male,group C,high school,free/reduced,none,42.0,39.0,34.0
female,group C,some college,standard,none,73.0,77.4,82.0
female,group C,some college,free/reduced,none,76.0,83.0,88.0
female,group C,associate's degree,standard,none,71.0,71.0,74.0
female,group A,some college,standard,none,58.0,63.8,67.0
female,group D,some high school,standard,none,73.0,86.0,85.6
female,group C,bachelor's degree,standard,none,65.0,72.0,74.0
male,group C,some college,free/reduced,none,27.0,34.0,36.0
male,group C,high school,standard,none,71.0,79.0,71.0
male,group C,associate's degree,free/reduced,completed,43.0,45.0,55.5
female,group B,some college,standard,none,84.5,86.0,92.0
male,group C,associate's degree,free/reduced,completed,84.0,84.4,82.0
male,group B,some high school,standard,completed,65.0,66.0,69.4
female,group E,some college,standard,completed,63.0,66.6,70.0
female,group C,some college,standard,none,58.0,59.6,62.0
female,group D,some college,standard,none,65.0,67.0,62.0
male,group B,some college,standard,none,79.0,67.0,67.0
male,group D,bachelor's degree,standard,completed,68.0,74.0,74.0
female,group D,some college,standard,none,77.5,91.0,89.0
male,group C,high school,standard,completed,47.800000000000004,44.0,47.0
male,group C,some college,standard,completed,80.0,86.0,100.0
