gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group B,bachelor's degree,standard,none,0.5720053352104462,0.5720053352104462,0.5878943722996253
female,group C,some college,standard,completed,0.4806874475452991,0.6269836272329988,0.6130506577389322
female,group B,master's degree,standard,none,0.5605980688246466,0.5917424059815714,0.5792846711188014
male,group A,associate's degree,free/reduced,none,0.546585535761518,0.6628803306043942,0.5116970973086552
male,group C,some college,standard,none,0.5747523742261371,0.5898774367057723,0.5671898429863196
female,group B,associate's degree,standard,none,0.528997073576555,0.6184050296740009,0.5811517146333984
female,group B,some college,standard,completed,0.55398528395983,0.5980522951839073,0.5791664332307314
male,group B,some college,free/reduced,none,0.567390156362642,0.6099444180898401,0.553205402453576
male,group D,high school,free/reduced,completed,0.5683334564768874,0.5683334564768874,0.5949740872492414
female,group B,high school,free/reduced,none,0.4375047341055788,0.690796948587756,0.57566412382313
male,group C,associate's degree,standard,none,0.6119178499040263,0.5697166188761624,0.5486160033622305
male,group D,associate's degree,standard,none,0.5099370107339739,0.6629181139541661,0.548182286539022
female,group B,high school,standard,none,0.5120332947598233,0.6380722596237798,0.5750527771918015
male,group A,some college,standard,completed,0.6134320353140436,0.5662449556745017,0.5505159291279877
female,group A,master's degree,standard,none,0.5368900200020206,0.5691034212021419,0.6227924232023438
female,group C,some high school,standard,none,0.537653269544012,0.5844057277652305,0.6077819568758397
male,group C,high school,standard,none,0.5794868754425007,0.5860719535725291,0.5663167191824439
female,group B,some high school,free/reduced,none,0.389833273641789,0.693036930918736,0.606407314553894
male,group C,master's degree,free/reduced,completed,0.59405549793187,0.5423984981117074,0.59405549793187
female,group C,associate's degree,free/reduced,none,0.5399730020248312,0.5799710021748188,0.6099695022873094
male,group D,high school,standard,none,0.5769530553351137,0.6031781942139824,0.5507279164562449
female,group B,some college,free/reduced,completed,0.5352015302352019,0.6175402271944637,0.5763708787148327
male,group D,some college,standard,none,0.5027012270637741,0.6169515059419045,0.6055264780540915
female,group C,some high school,standard,none,0.5556751642147061,0.58788821721266,0.58788821721266
male,group D,bachelor's degree,free/reduced,completed,0.5689446855457345,0.5458793604560426,0.6150753357251184
male,group A,master's degree,free/reduced,none,0.5773141588434548,0.5852225719782966,0.5694057457086129
male,group B,some college,standard,none,0.6669858452283698,0.5219889223526372,0.5316553838776861
female,group C,bachelor's degree,standard,none,0.5493464413328278,0.5657448425666436,0.6149400462680908
male,group C,high school,standard,none,0.5910804632890486,0.5910804632890486,0.5488604301969737
female,group D,master's degree,standard,none,0.5172237004649333,0.5839622424604085,0.6256738312075806
female,group D,some college,standard,none,0.550452103255809,0.5903399368250705,0.5903399368250705
female,group B,some college,standard,none,0.5771564136417486,0.5954788394716454,0.5588339878118519
female,group E,master's degree,free/reduced,none,0.49998007134457845,0.6428315203001723,0.5803340113821
male,group D,some college,standard,none,0.576869744537761,0.6057132317646491,0.548026257310873
male,group E,some college,standard,none,0.6300561243020208,0.5651018846832558,0.5326247648738733
male,group E,associate's degree,standard,completed,0.5821014701682778,0.5821014701682778,0.5677285943616538
female,group D,associate's degree,standard,none,0.5379009382990664,0.5887834594895186,0.6033213226867906
female,group D,some high school,free/reduced,none,0.49808604601901946,0.6375501389043449,0.5877415343024429
female,group D,associate's degree,free/reduced,completed,0.5118649066034303,0.6142378879241164,0.6005881570813583
male,group B,associate's degree,free/reduced,none,0.5807263532538404,0.5705381716178081,0.5807263532538404
male,group C,associate's degree,free/reduced,none,0.5595374675595735,0.6205779185660725,0.5493640590584904
female,group C,associate's degree,standard,none,0.502602672667039,0.6325861224947215,0.589258305885494
female,group B,associate's degree,standard,none,0.5197577372246474,0.5687914860194254,0.6374387343321146
male,group B,some college,free/reduced,completed,0.5372078492118763,0.591839155911389,0.6009443736946412
female,group E,associate's degree,free/reduced,none,0.5406748373104253,0.6055558177876763,0.5839288242952593
male,group B,associate's degree,standard,none,0.6376840918216982,0.5297683224364876,0.5591998959051814
female,group A,associate's degree,standard,completed,0.5221780459421504,0.6171195088407232,0.5886370699711514
female,group C,high school,standard,none,0.5358067822718907,0.5763982051712764,0.616989628070662
female,group D,associate's degree,free/reduced,completed,0.47334291327830147,0.6145153610981458,0.6311238843710686
male,group C,high school,standard,completed,0.5726569762828081,0.586624219606779,0.5726569762828081
male,group E,some college,standard,none,0.5875123859436985,0.609682664658555,0.5320866891565571
male,group E,associate's degree,free/reduced,completed,0.6222234919378161,0.5575768953728483,0.5494960708022272
male,group C,some college,standard,none,0.6569294533299047,0.5453753952172794,0.5205856045255849
male,group D,high school,standard,none,0.6309419137729659,0.559243969026038,0.5377345856019596
female,group C,some high school,free/reduced,completed,0.5062911445752912,0.598992340060908,0.6203849236345118
female,group C,high school,free/reduced,none,0.4855567084988305,0.6032674257106682,0.6326951050136276
female,group E,associate's degree,standard,completed,0.5612621722940669,0.5817961542072645,0.5886408148449971
male,group D,associate's degree,standard,none,0.576710781894408,0.6099825577729316,0.5434390060158846
male,group D,some college,standard,completed,0.5740323811857818,0.5839294912062264,0.5740323811857818
female,group C,some high school,free/reduced,none,0.0,0.8619342151577695,0.5070201265633938
male,group E,bachelor's degree,free/reduced,completed,0.607674329427798,0.5692139288311019,0.5538297685924235
male,group A,some high school,free/reduced,none,0.6019263977266102,0.6019263977266102,0.5247563467360191
male,group A,associate's degree,free/reduced,none,0.6024814911015313,0.5927640476966678,0.5344593872674874
female,group C,associate's degree,standard,none,0.5420817381067098,0.6285005659208229,0.5577942522547304
female,group D,some high school,standard,none,0.5806119248205728,0.5707710447388682,0.5806119248205728
male,group B,some high school,standard,none,0.6039713630988837,0.5769278692287844,0.5498843753586851
male,group D,some high school,free/reduced,none,0.6520369736376551,0.5361192894354053,0.5361192894354053
female,group C,some college,standard,none,0.502448423176264,0.6029381078115169,0.619686388584059
male,group B,associate's degree,free/reduced,none,0.6033692052205131,0.5736953098817993,0.5539127129893234
female,group C,associate's degree,standard,none,0.4141910817478009,0.6796981854322887,0.6053561964006321
female,group D,some college,free/reduced,completed,0.5154384815913196,0.5598728334526402,0.6487415371752815
male,group D,some college,standard,completed,0.6016942238943078,0.5252886081616973,0.6016942238943078
female,group A,associate's degree,free/reduced,none,0.5052112275591939,0.6284334781833876,0.5914668029961294
male,group C,some high school,free/reduced,none,0.6067924773984513,0.5670028067493725,0.5570553890871028
male,group C,some high school,standard,none,0.608566538291922,0.608566538291922,0.5092087361218123
male,group B,associate's degree,free/reduced,none,0.6184925999767842,0.576322649978367,0.53415269997995
male,group E,some high school,standard,none,0.6609789738588476,0.5728484440110013,0.48471791416315496
male,group A,bachelor's degree,standard,completed,0.5796949252437643,0.5652025521126702,0.5869411118093114
female,group D,some high school,standard,completed,0.5086690243604253,0.6170738984044504,0.6003962254746004
female,group E,master's degree,standard,none,0.5418619944418233,0.5943002519684514,0.5943002519684514
female,group B,associate's degree,standard,none,0.557394985789109,0.581113921354603,0.59297338913735
male,group B,high school,free/reduced,none,0.6100740595075469,0.5602720954661146,0.5602720954661146
male,group A,some college,free/reduced,completed,0.5725983343138682,0.538242434255036,0.6184062010589776
male,group E,associate's degree,standard,none,0.6255196345387158,0.556017452923303,0.5473296802213763
male,group D,high school,free/reduced,none,0.6302442669893606,0.5852268193472634,0.5101977399437682
female,group C,some college,standard,none,0.5373897384508292,0.5889202613159772,0.6036432678488767
female,group C,some college,free/reduced,none,0.531989094335348,0.5809880898662353,0.6159873723882977
female,group D,associate's degree,standard,none,0.5692217224664543,0.5692217224664543,0.5932733445425017
female,group A,some college,standard,none,0.5135962140831265,0.6198574997554974,0.5932921783374047
female,group D,some high school,standard,none,0.5234488161896471,0.616665728661776,0.5879836017472748
female,group C,bachelor's degree,standard,none,0.5327689881738851,0.5901441099772265,0.6065370019210384
male,group C,high school,free/reduced,none,0.47872039435334357,0.6028330891856919,0.6382938591377915
male,group C,high school,standard,none,0.5557229832050911,0.6183396573690451,0.5557229832050911
male,group C,associate's degree,free/reduced,completed,0.5385951347456035,0.563646071245399,0.6262734124948878
female,group B,some college,standard,none,0.5313994847803083,0.5784855150772977,0.6188449696175743
male,group C,associate's degree,free/reduced,completed,0.5604553292230524,0.582011303423939,0.5891966281575679
male,group B,some high school,standard,completed,0.5831296952211336,0.5921009213014587,0.5562160169801582
female,group E,some college,standard,completed,0.5314421865964749,0.6073624989673999,0.5904913184405277
female,group D,some college,free/reduced,none,0.5362789478034994,0.6194946466005941,0.5732637028244303
female,group D,bachelor's degree,standard,none,0.5800335536806859,0.5978807399477839,0.5532627742800389
male,group B,some college,standard,none,0.6403745043963001,0.5431024277791405,0.5431024277791405
male,group D,bachelor's degree,standard,completed,0.5448550034945779,0.5929304449793936,0.5929304449793936
female,group D,associate's degree,standard,none,0.5553420855935707,0.5945427034001757,0.5814758307979739
male,group B,high school,standard,completed,0.6817741637296361,0.4999677200683998,0.5340564282548816
male,group C,some college,standard,completed,0.6185705150358471,0.5428271866641108,0.5680749627880229
female,group C,some college,standard,none,0.5079712826160235,0.5867944126771306,0.6305850404888568
female,group D,master's degree,standard,none,0.5239728036859383,0.6022675904436072,0.6022675904436072
male,group E,associate's degree,standard,completed,0.5921962523150054,0.5652782408461415,0.5742509113357628
female,group B,associate's degree,free/reduced,none,0.4495471895533065,0.6570305078086788,0.6051596782448357
female,group B,some high school,standard,none,0.587841069259404,0.5374546918943123,0.6046365283811013
female,group D,associate's degree,free/reduced,completed,0.5027849446885223,0.5811410399646557,0.6399081114217557
male,group C,high school,standard,none,0.6439495179447478,0.5712455401122762,0.5089278448273006
male,group A,associate's degree,standard,none,0.6062442908236657,0.5950175446973015,0.5276570679391165
female,group D,some college,standard,none,0.5411768881581561,0.6154560688857461,0.5730108227556947
female,group E,bachelor's degree,standard,completed,0.5734819797997098,0.579274727070414,0.579274727070414
male,group C,high school,standard,none,0.6182322765960581,0.5667129202130532,0.5446331960489083
female,group B,bachelor's degree,free/reduced,none,0.5360699603130699,0.6075459550214791,0.5861031566089563
female,group D,bachelor's degree,standard,none,0.5651432070314365,0.5941249099561255,0.5723886327626088
female,group D,some high school,standard,none,0.5027376225155674,0.621028827813348,0.6013136269303846
female,group C,some college,standard,none,0.5018490495861052,0.6295924440262047,0.5930943313290334
female,group C,bachelor's degree,standard,completed,0.5251981648374502,0.6116231793043724,0.5916789451966211
male,group B,associate's degree,standard,completed,0.5794180613966907,0.5666835985088514,0.5857852928406104
female,group C,some college,standard,completed,0.5560939453008993,0.5876901921929958,0.5876901921929958
