gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_score_log,reading_score_log,writing_score_log
female,group B,bachelor's degree,standard,none,72,72,74,4.290459441148391,4.290459441148391,4.31748811353631
female,group C,some college,standard,completed,69,90,88,4.248495242049359,4.51085950651685,4.48863636973214
female,group B,master's degree,standard,none,90,95,93,4.51085950651685,4.564348191467836,4.543294782270004
male,group A,associate's degree,free/reduced,none,47,57,44,3.871201010907891,4.060443010546419,3.8066624897703196
male,group C,some college,standard,none,76,78,75,4.343805421853684,4.3694478524670215,4.330733340286331
female,group B,associate's degree,standard,none,71,83,78,4.276666119016055,4.430816798843313,4.3694478524670215
female,group B,some college,standard,completed,88,95,92,4.48863636973214,4.564348191467836,4.532599493153256
male,group B,some college,free/reduced,none,40,43,39,3.713572066704308,3.784189633918261,3.6888794541139363
male,group D,high school,free/reduced,completed,64,64,67,4.174387269895637,4.174387269895637,4.219507705176107
female,group B,high school,free/reduced,none,38,60,50,3.6635616461296463,4.110873864173311,3.9318256327243257
male,group C,associate's degree,standard,none,58,54,52,4.07753744390572,4.007333185232471,3.970291913552122
male,group D,associate's degree,standard,none,40,52,43,3.713572066704308,3.970291913552122,3.784189633918261
female,group B,high school,standard,none,65,81,73,4.189654742026425,4.406719247264253,4.30406509320417
male,group A,some college,standard,completed,78,72,70,4.3694478524670215,4.290459441148391,4.2626798770413155
female,group A,master's degree,standard,none,50,53,58,3.9318256327243257,3.9889840465642745,4.07753744390572
female,group C,some high school,standard,none,69,75,78,4.248495242049359,4.330733340286331,4.3694478524670215
male,group C,high school,standard,none,88,89,86,4.48863636973214,4.499809670330265,4.465908118654584
female,group B,some high school,free/reduced,none,18,32,28,2.9444389791664403,3.4965075614664802,3.367295829986474
male,group C,master's degree,free/reduced,completed,46,42,46,3.8501476017100584,3.7612001156935624,3.8501476017100584
female,group C,associate's degree,free/reduced,none,54,58,61,4.007333185232471,4.07753744390572,4.127134385045092
male,group D,high school,standard,none,66,69,63,4.204692619390966,4.248495242049359,4.1588830833596715
female,group B,some college,free/reduced,completed,65,75,70,4.189654742026425,4.330733340286331,4.2626798770413155
male,group D,some college,standard,none,44,54,53,3.8066624897703196,4.007333185232471,3.9889840465642745
female,group C,some high school,standard,none,69,73,73,4.248495242049359,4.30406509320417,4.30406509320417
male,group D,bachelor's degree,free/reduced,completed,74,71,80,4.31748811353631,4.276666119016055,4.394449154672439
male,group A,master's degree,free/reduced,none,73,74,72,4.30406509320417,4.31748811353631,4.290459441148391
male,group B,some college,standard,none,69,54,55,4.248495242049359,4.007333185232471,4.02535169073515
female,group C,bachelor's degree,standard,none,67,69,75,4.219507705176107,4.248495242049359,4.330733340286331
male,group C,high school,standard,none,70,70,65,4.2626798770413155,4.2626798770413155,4.189654742026425
female,group D,master's degree,standard,none,62,70,75,4.143134726391533,4.2626798770413155,4.330733340286331
female,group D,some college,standard,none,69,74,74,4.248495242049359,4.31748811353631,4.31748811353631
female,group B,some college,standard,none,63,65,61,4.1588830833596715,4.189654742026425,4.127134385045092
female,group E,master's degree,free/reduced,none,56,72,65,4.04305126783455,4.290459441148391,4.189654742026425
male,group D,some college,standard,none,40,42,38,3.713572066704308,3.7612001156935624,3.6635616461296463
