gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_score_sqrt,reading_score_sqrt,writing_score_sqrt
female,group B,bachelor's degree,standard,none,72,72,74,8.48528137423857,8.48528137423857,8.602325267042627
female,group C,some college,standard,completed,69,90,88,8.306623862918075,9.486832980505138,9.38083151964686
female,group B,master's degree,standard,none,90,95,93,9.486832980505138,9.746794344808963,9.643650760992955
male,group A,associate's degree,free/reduced,none,47,57,44,6.855654600401044,7.54983443527075,6.6332495807108
male,group C,some college,standard,none,76,78,75,8.717797887081348,8.831760866327848,8.660254037844387
female,group B,associate's degree,standard,none,71,83,78,8.426149773176359,9.1104335791443,8.831760866327848
female,group B,some college,standard,completed,88,95,92,9.38083151964686,9.746794344808963,9.591663046625438
male,group B,some college,free/reduced,none,40,43,39,6.324555320336759,6.557438524302,6.244997998398398
male,group D,high school,free/reduced,completed,64,64,67,8.0,8.0,8.18535277187245
female,group B,high school,free/reduced,none,38,60,50,6.164414002968976,7.745966692414834,7.0710678118654755
male,group C,associate's degree,standard,none,58,54,52,7.615773105863909,7.3484692283495345,7.211102550927978
male,group D,associate's degree,standard,none,40,52,43,6.324555320336759,7.211102550927978,6.557438524302
female,group B,high school,standard,none,65,81,73,8.06225774829855,9.0,8.54400374531753
male,group A,some college,standard,completed,78,72,70,8.831760866327848,8.48528137423857,8.366600265340756
female,group A,master's degree,standard,none,50,53,58,7.0710678118654755,7.280109889280518,7.615773105863909
female,group C,some high school,standard,none,69,75,78,8.306623862918075,8.660254037844387,8.831760866327848
male,group C,high school,standard,none,88,89,86,9.38083151964686,9.433981132056603,9.273618495495704
female,group B,some high school,free/reduced,none,18,32,28,4.242640687119285,5.656854249492381,5.291502622129181
male,group C,master's degree,free/reduced,completed,46,42,46,6.782329983125268,6.48074069840786,6.782329983125268
female,group C,associate's degree,free/reduced,none,54,58,61,7.3484692283495345,7.615773105863909,7.810249675906654
male,group D,high school,standard,none,66,69,63,8.12403840463596,8.306623862918075,7.937253933193772
female,group B,some college,free/reduced,completed,65,75,70,8.06225774829855,8.660254037844387,8.366600265340756
male,group D,some college,standard,none,44,54,53,6.6332495807108,7.3484692283495345,7.280109889280518
female,group C,some high school,standard,none,69,73,73,8.306623862918075,8.54400374531753,8.54400374531753
male,group D,bachelor's degree,free/reduced,completed,74,71,80,8.602325267042627,8.426149773176359,8.94427190999916
male,group A,master's degree,free/reduced,none,73,74,72,8.54400374531753,8.602325267042627,8.48528137423857
male,group B,some college,standard,none,69,54,55,8.306623862918075,7.3484692283495345,7.416198487095663
female,group C,bachelor's degree,standard,none,67,69,75,8.18535277187245,8.306623862918075,8.660254037844387
male,group C,high school,standard,none,70,70,65,8.366600265340756,8.366600265340756,8.06225774829855
female,group D,master's degree,standard,none,62,70,75,7.874007874011811,8.366600265340756,8.660254037844387
female,group D,some college,standard,none,69,74,74,8.306623862918075,8.602325267042627,8.602325267042627
