gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group B,bachelor's degree,standard,none,0.3900235098032764,0.19399858403803502,0.3914918076496706
female,group C,some college,standard,completed,0.19207552648237824,1.4274759816659497,1.3132686840532009
female,group B,master's degree,standard,none,1.577711409728665,1.7701085921181483,1.6424747113401759
male,group A,associate's degree,free/reduced,none,-1.2595430178708746,-0.8338992473185606,-1.5837443560721798
male,group C,some college,standard,none,0.6539541542311406,0.6051577165806732,0.45733301310706564
female,group B,associate's degree,standard,none,0.32404084869631034,0.9477903270328718,0.6548566294792506
female,group B,some college,standard,completed,1.445746087514733,1.7701085921181483,1.5766335058827807
male,group B,some college,free/reduced,none,-1.721421645619637,-1.7932705565847165,-1.9129503833591548
male,group D,high school,free/reduced,completed,-0.13783777905245198,-0.35421359268548264,-0.06939663055209448
female,group B,high school,free/reduced,none,-1.853386967833569,-0.6283196810472415,-1.1886971233278096
male,group C,associate's degree,standard,none,-0.5337337456942483,-1.0394788135898796,-1.0570147124130196
male,group D,associate's degree,standard,none,-1.721421645619637,-1.176531857770759,-1.6495855615295747
female,group B,high school,standard,none,-0.07185511794548592,0.8107372828519923,0.3256506021922756
male,group A,some college,standard,completed,0.7859194764450727,0.19399858403803502,0.12812698582009055
female,group A,master's degree,standard,none,-1.0615950345499765,-1.1080053356803194,-0.6619674796686495
female,group C,some high school,standard,none,0.19207552648237824,0.3995781503093541,0.6548566294792506
male,group C,high school,standard,none,1.445746087514733,1.35894945957551,1.1815862731384108
female,group B,some high school,free/reduced,none,-3.1730401899728897,-2.547062299579553,-2.6372036433905
male,group C,master's degree,free/reduced,completed,-1.3255256789778407,-1.861797078675156,-1.4520619451573897
female,group C,associate's degree,free/reduced,none,-0.7976643901221123,-0.7653727252281208,-0.46444386329646453
male,group D,high school,standard,none,-0.005872456838519888,-0.0115809822332841,-0.33276145238167454
female,group B,some college,free/reduced,completed,-0.07185511794548592,0.3995781503093541,0.12812698582009055
male,group D,some college,standard,none,-1.4574910011917728,-1.0394788135898796,-0.9911735069556247
